Type,SKU,Name,Published,Featured,Visibility in catalog,Short description,Description,Date sale price starts,Date sale price ends,Tax status,Tax class,In stock?,Stock,Backorders allowed?,Sold individually?,Weight (kg),Length (cm),Width (cm),Height (cm),Allow customer reviews?,Purchase note,Sale price,Regular price,Categories,Tags,Shipping class,Images,Download limit,Download expiry days,Parent,Grouped products,Upsells,Cross-sells,External URL,Button text,Position,Attribute 1 name,Attribute 1 value(s),Attribute 1 visible,Attribute 1 global,Attribute 2 name,Attribute 2 value(s),Attribute 2 visible,Attribute 2 global
simple,1688-1748606048,Creative Resin Bear Pen Craft Office Desktop Study Decoration Classmates Friends Holiday Birthday Gift,1,0,visible,"Provides you with creative resin bear pen crafts office desktop study decoration classmates and friends holiday birthday gifts and other products,. \n &lt;style...","Provides you with creative resin bear pen crafts office desktop study decoration classmates and friends holiday birthday gifts and other products,. \n &lt;style&gt;\n. App-shopSigns {\n display: none;\n }\n.",,,taxable,,yes,,0,0,,,,,1,,,17.95,Imported Products,,,"https://cbu01.alicdn.com/img/ibank/O1CN01N6H9Oi1dqUdOJty8O_!!1702133787-0-cib.310x310.jpg,https://cbu01.alicdn.com/img/ibank/O1CN01pLdqSH1dqUdWJ8FWN_!!1702133787-0-cib.310x310.jpg,https://cbu01.alicdn.com/img/ibank/O1CN01Gyk1BJ1dqUdUU9Iwg_!!1702133787-0-cib.220x220.jpg,https://cbu01.alicdn.com/img/ibank/O1CN01wd7cTT1dqUdJwsMCv_!!1702133787-0-cib.jpg,https://cbu01.alicdn.com/img/ibank/O1CN01wd7cTT1dqUdJwsMCv_!!1702133787-0-cib.310x310.jpg",,,,,,,,,,,,1,1,,,1,1
simple,1688-1748606052,Leifeng Pagoda Model Handmade Leifeng Pagoda Souvenir Home Decoration Hangzhou Gift Travel Friends Colleague Birthday Gift,1,0,visible,"Provides you with leifeng tower model handmade leifeng tower souvenir home decoration hangzhou gift travel friends colleagues birthday gifts and other products,...","Provides you with leifeng tower model handmade leifeng tower souvenir home decoration hangzhou gift travel friends colleagues birthday gifts and other products,. \n &lt;style&gt;\n. App-shopSigns {\n display: none;\n }\n.",,,taxable,,yes,,0,0,,,,,1,,,19.91,Imported Products,,,"https://cbu01.alicdn.com/img/ibank/13906079776_316025720.220x220.jpg,https://cbu01.alicdn.com/img/ibank/13905983887_316025720.310x310.jpg,https://cbu01.alicdn.com/cms/upload/2015/839/305/2503938_1964054271.png,https://cbu01.alicdn.com/img/ibank/13906115403_316025720.jpg,https://cbu01.alicdn.com/img/ibank/13906079776_316025720.jpg",,,,,,,,,,,,1,1,,,1,1
simple,1688-1748606056,Trophy model alarm clock student bedside timing alarm clock alarm table children children learning clock holiday birthday gifts,1,0,visible,"Provides you with a trophy model alarm clock student bedside alarm clock alarm table children children learning clock holiday birthday gifts and other products,...","Provides you with a trophy model alarm clock student bedside alarm clock alarm table children children learning clock holiday birthday gifts and other products,. \n &lt;style&gt;\n. App-shopSigns {\n display: none;\n }\n.",,,taxable,,yes,,0,0,,,,,1,,,8.15,Imported Products,,,"https://cbu01.alicdn.com/img/ibank/2020/315/794/22283497513_316025720.310x310.jpg,https://cbu01.alicdn.com/img/ibank/2020/093/956/22283659390_316025720.220x220.jpg,https://cbu01.alicdn.com/img/ibank/2020/093/956/22283659390_316025720.310x310.jpg,https://cbu01.alicdn.com/img/ibank/2020/354/480/22373084453_316025720.220x220.jpg,https://cbu01.alicdn.com/img/ibank/2020/743/651/22373156347_316025720.220x220.jpg",,,,,,,,,,,,1,1,,,1,1
simple,1688-1748606061,Creative Children&#39;s Alarm Clock Plastic Cartoon Student Astronaut Alarm Clock Timing Function Dormitory Kids Cute Jump Seconds,1,0,visible,Provides you with creative children&#39;s alarm clock plastic cartoon student astronaut alarm clock timer function dormitory kids cute jump seconds and other pr...,"Provides you with creative children&#39;s alarm clock plastic cartoon student astronaut alarm clock timer function dormitory kids cute jump seconds and other products,. \n &lt;style&gt;\n. App-shopSigns {\n display: none;\n }\n.",,,taxable,,yes,,0,0,,,,,1,,,6.98,Imported Products,,,"https://cbu01.alicdn.com/cms/upload/2015/839/305/2503938_1964054271.png,https://cbu01.alicdn.com/img/ibank/O1CN01jzfuKZ1dqUcM4qgYY_!!1702133787-0-cib.jpg,https://cbu01.alicdn.com/img/ibank/O1CN01kr2Rl51dqUcM7eq7Z_!!1702133787-0-cib.jpg,https://cbu01.alicdn.com/cms/upload/2015/177/505/2505771_1964054271.png,https://cbu01.alicdn.com/img/ibank/O1CN01fICAZ31dqUcSXxubN_!!1702133787-0-cib.310x310.jpg",,,,,,,,,,,,1,1,,,1,1
simple,1688-1748606065,Creative romantic star lamp projection lamp USB cable bulk LED light connection line luminous toy accessories,1,0,visible,"Provides you with creative romantic star lamp projection lamp usb cable bulk led light connection line luminous toy accessories and other products,. \n &lt;styl...","Provides you with creative romantic star lamp projection lamp usb cable bulk led light connection line luminous toy accessories and other products,. \n &lt;style&gt;\n. App-shopSigns {\n display: none;\n }\n.",,,taxable,,yes,,0,0,,,,,1,,,0.82,Imported Products,,,"https://cbu01.alicdn.com/cms/upload/2015/277/505/2505772_1964054271.png,https://cbu01.alicdn.com/club/upload/pic/user/b/2/b/-/b2b-1702133787_s.jpeg,https://cbu01.alicdn.com/img/ibank/2017/998/842/4701248899_316025720.220x220.jpg,https://cbu01.alicdn.com/img/ibank/2017/998/842/4701248899_316025720.jpg,https://cbu01.alicdn.com/img/ibank/2017/696/337/4703733696_316025720.220x220.jpg",,,,,,,,,,,,1,1,,,1,1
simple,1688-1748606070,Creative Romantic Couple Star Light Quiet LED Projection Light Star Night Light Friends Valentine&#39;s Day Gift,1,0,visible,"Provides you with creative romantic couple starry silent led projection lamp starry night light friends valentine&#39;s day gift products such as,. \n &lt;style...","Provides you with creative romantic couple starry silent led projection lamp starry night light friends valentine&#39;s day gift products such as,. \n &lt;style&gt;\n. App-shopSigns {\n display: none;\n }\n.",,,taxable,,yes,,0,0,,,,,1,,,4.37,Imported Products,,,"https://cbu01.alicdn.com/cms/upload/2015/277/505/2505772_1964054271.png,https://cbu01.alicdn.com/img/ibank/2017/839/196/4703691938_316025720.jpg,https://cbu01.alicdn.com/club/upload/pic/user/b/2/b/-/b2b-1702133787_s.jpeg,https://cbu01.alicdn.com/img/ibank/2017/086/491/4701194680_316025720.310x310.jpg,https://cbu01.alicdn.com/img/ibank/2017/691/302/4701203196_316025720.310x310.jpg",,,,,,,,,,,,1,1,,,1,1
simple,1688-1748606074,Electronic alarm clock with music display temperature lazy alarm multifunctional luminous LED alarm clock student gift ornaments,1,0,visible,Provides you with an electronic alarm clock with music display temperature lazy alarm multifunctional luminous led alarm clock student gifts ornaments and other...,"Provides you with an electronic alarm clock with music display temperature lazy alarm multifunctional luminous led alarm clock student gifts ornaments and other products,. \n &lt;style&gt;\n. App-shopSigns {\n display: none;\n }\n.",,,taxable,,yes,,0,0,,,,,1,,,8.44,Imported Products,,,"https://cbu01.alicdn.com/img/ibank/2017/358/638/4700836853_316025720.220x220.jpg,https://cbu01.alicdn.com/img/ibank/2017/180/158/4700851081_316025720.jpg,https://cbu01.alicdn.com/img/ibank/2017/595/993/4700399595_316025720.220x220.jpg,https://cbu01.alicdn.com/img/ibank/2020/931/090/20905090139_316025720.jpg,https://cbu01.alicdn.com/img/ibank/2017/840/700/4703007048_316025720.310x310.jpg",,,,,,,,,,,,1,1,,,1,1
simple,1688-1748606078,Balance Ball Swinging Weightlifting Little Iron Man Creative Weightlifting Sports Not Falling Tumbler Decoration Holiday Gift,1,0,visible,"Provides you with a balance ball rocking weightlifting small iron man creative weightlifting tumbler ornaments holiday gifts and other products,. \n &lt;style&g...","Provides you with a balance ball rocking weightlifting small iron man creative weightlifting tumbler ornaments holiday gifts and other products,. \n &lt;style&gt;\n. App-shopSigns {\n display: none;\n }\n.",,,taxable,,yes,,0,0,,,,,1,,,5.04,Imported Products,,,"https://cbu01.alicdn.com/img/ibank/2017/658/916/4703619856_316025720.220x220.jpg,https://cbu01.alicdn.com/img/ibank/2017/208/221/4701122802_316025720.220x220.jpg,https://cbu01.alicdn.com/img/ibank/2018/736/120/9540021637_316025720.jpg,https://cbu01.alicdn.com/img/ibank/2017/905/821/4701128509_316025720.jpg,https://cbu01.alicdn.com/img/ibank/2017/658/916/4703619856_316025720.310x310.jpg",,,,,,,,,,,,1,1,,,1,1
simple,1688-1748606082,Creative Romantic Couple Star Light Quiet LED Projection Light Star Night Light Friends Valentine&#39;s Day Gift,1,0,visible,"Provides you with creative romantic couple starry silent led projection lamp starry night light friends valentine&#39;s day gift products such as,. \n &lt;style...","Provides you with creative romantic couple starry silent led projection lamp starry night light friends valentine&#39;s day gift products such as,. \n &lt;style&gt;\n. App-shopSigns {\n display: none;\n }\n.",,,taxable,,yes,,0,0,,,,,1,,,4.37,Imported Products,,,"https://cbu01.alicdn.com/cms/upload/2015/277/505/2505772_1964054271.png,https://cbu01.alicdn.com/img/ibank/2017/839/196/4703691938_316025720.jpg,https://cbu01.alicdn.com/club/upload/pic/user/b/2/b/-/b2b-1702133787_s.jpeg,https://cbu01.alicdn.com/img/ibank/2017/086/491/4701194680_316025720.310x310.jpg,https://cbu01.alicdn.com/img/ibank/2017/691/302/4701203196_316025720.310x310.jpg",,,,,,,,,,,,1,1,,,1,1
simple,1688-1748606087,Creative romantic star lamp projection lamp USB cable bulk LED light connection line luminous toy accessories,1,0,visible,"Provides you with creative romantic star lamp projection lamp usb cable bulk led light connection line luminous toy accessories and other products,. \n &lt;styl...","Provides you with creative romantic star lamp projection lamp usb cable bulk led light connection line luminous toy accessories and other products,. \n &lt;style&gt;\n. App-shopSigns {\n display: none;\n }\n.",,,taxable,,yes,,0,0,,,,,1,,,0.82,Imported Products,,,"https://cbu01.alicdn.com/cms/upload/2015/277/505/2505772_1964054271.png,https://cbu01.alicdn.com/club/upload/pic/user/b/2/b/-/b2b-1702133787_s.jpeg,https://cbu01.alicdn.com/img/ibank/2017/998/842/4701248899_316025720.220x220.jpg,https://cbu01.alicdn.com/img/ibank/2017/998/842/4701248899_316025720.jpg,https://cbu01.alicdn.com/img/ibank/2017/696/337/4703733696_316025720.220x220.jpg",,,,,,,,,,,,1,1,,,1,1
